Anumber,Triangle,Type,Trait,Sequence
A000522,Rencontres,Std,PolyVal2,[1 2 5 16 65 326 1957 13700 109601 986410 ]
A010842,Rencontres,Std,PolyVal3,[1 3 10 38 168 872 5296 37200 297856 2681216 ]
nothing,Rencontres,Std,BinConv,[1 1 2 12 78 570 4900 48160 530390 6464430 ]
nothing,Rencontres,Std,IBinConv,[1 1 2 8 14 82 132 744 4566 -33442 ]
nothing,Rencontres,Std,TransSqrs,[0 1 4 12 48 240 1440 10080 80640 725760 ]
A000142,Rencontres,Std,TransNat0,[0 1 2 6 24 120 720 5040 40320 362880 ]
A098558,Rencontres,Std,TransNat1,[1 2 4 12 48 240 1440 10080 80640 725760 ]
A111808,Trinomial,Std,Triangle,[1 1 1 1 2 3 1 3 6 7 ]
A094531,Trinomial,Std,Reverse,[1 1 1 3 2 1 7 6 3 1 ]
A102587,Trinomial,Std,InvRev,[1 -1 1 -1 -2 1 2 0 -3 1 ]
nothing,Trinomial,Std,DiagTri,[1 1 1 1 1 2 1 3 3 1 ]
nothing,Trinomial,Std,PolyTri,[1 1 1 1 2 1 1 6 3 1 ]
A027914,Trinomial,Std,Sum,[1 2 6 17 50 147 435 1290 3834 11411 ]
nothing,Trinomial,Std,EvenSum,[1 1 4 7 30 61 253 547 2194 4921 ]
nothing,Trinomial,Std,OddSum,[0 1 2 10 20 86 182 743 1640 6490 ]
A246437,Trinomial,Std,AltSum,[1 0 2 -3 10 -25 71 -196 554 -1569 ]
nothing,Trinomial,Std,DiagSum,[1 1 2 3 7 11 23 38 78 132 ]
A027913,Trinomial,Std,Middle,[1 1 2 3 10 15 50 77 266 414 ]
A027908,Trinomial,Std,Central,[1 2 10 50 266 1452 8074 45474 258570 1481108 ]
A000012,Trinomial,Std,LeftSide,[1 1 1 1 1 1 1 1 1 1 ]
A002426,Trinomial,Std,RightSide,[1 1 3 7 19 51 141 393 1107 3139 ]
nothing,Trinomial,Std,PosHalf,[1 3 11 39 139 493 1745 6163 21731 76521 ]
nothing,Trinomial,Std,NegHalf,[1 -1 3 -1 11 9 57 111 387 989 ]
nothing,Trinomial,Std,PolyVal2,[1 3 17 87 481 2663 14993 84983 485057 2782023 ]
nothing,Trinomial,Std,PolyVal3,[1 4 34 253 2074 16999 142255 1199776 10203946 87281983 ]
A082759,Trinomial,Std,BinConv,[1 2 8 35 160 752 3599 17446 85376 420884 ]
nothing,Trinomial,Std,IBinConv,[1 0 0 -3 0 0 15 0 0 -84 ]
nothing,Trinomial,Std,TransSqrs,[0 1 14 90 492 2330 10206 42147 166872 639414 ]
nothing,Trinomial,Std,TransNat0,[0 1 8 36 148 560 2034 7161 24672 83592 ]
nothing,Trinomial,Std,TransNat1,[1 3 14 53 198 707 2469 8451 28506 95003 ]
A109956,TTree,Std,Triangle,[1 1 1 3 4 1 12 18 7 1 ]
nothing,TTree,Std,Reverse,[1 1 1 1 4 3 1 7 18 12 ]
A109955,TTree,Std,Inverse,[1 -1 1 1 -4 1 -1 10 -7 1 ]
A193636,TTree,Std,RevInv,[1 1 -1 1 -4 1 1 -7 10 -1 ]
nothing,TTree,Std,DiagTri,[1 1 3 1 12 4 55 18 1 273 ]
nothing,TTree,Std,PolyTri,[1 1 1 3 2 1 12 8 3 1 ]
A047098,TTree,Std,Sum,[1 2 8 38 196 1062 5948 34120 199316 1181126 ]
A047099,TTree,Std,EvenSum,[1 1 4 19 98 531 2974 17060 99658 590563 ]
A047099,TTree,Std,OddSum,[0 1 4 19 98 531 2974 17060 99658 590563 ]
A000007,TTree,Std,AltSum,[1 0 0 0 0 0 0 0 0 0 ]
A109957,TTree,Std,DiagSum,[1 1 4 16 74 368 1926 10455 58333 332489 ]
nothing,TTree,Std,Middle,[1 1 4 18 42 245 510 3325 6578 45630 ]
nothing,TTree,Std,Central,[1 4 42 510 6578 87696 1193808 16486756 230090850 3237004680 ]
A001764,TTree,Std,LeftSide,[1 1 3 12 55 273 1428 7752 43263 246675 ]
A000012,TTree,Std,RightSide,[1 1 1 1 1 1 1 1 1 1 ]
nothing,TTree,Std,PosHalf,[1 3 21 183 1773 18303 197157 2189799 24891741 288132303 ]
nothing,TTree,Std,NegHalf,[1 -1 5 -37 325 -3141 32261 -345605 3818501 -43197445 ]
A005809,TTree,Std,PolyVal2,[1 3 15 84 495 3003 18564 116280 735471 4686825 ]
nothing,TTree,Std,PolyVal3,[1 4 24 156 1048 7164 49488 344208 2405496 16868604 ]
nothing,TTree,Std,BinConv,[1 2 12 88 700 5814 49588 430560 3786588 33622600 ]
nothing,TTree,Std,IBinConv,[1 0 -4 22 -84 238 -380 -828 10556 -56144 ]
nothing,TTree,Std,TransSqrs,[0 1 8 55 362 2343 15058 96500 617930 3957847 ]
nothing,TTree,Std,TransNat0,[0 1 6 35 206 1227 7388 44900 275046 1696331 ]
nothing,TTree,Std,TransNat1,[1 3 14 73 402 2289 13336 79020 474362 2877457 ]
A000012,Uni,Std,Triangle,[1 1 1 1 1 1 1 1 1 1 ]
A000012,Uni,Std,Reverse,[1 1 1 1 1 1 1 1 1 1 ]
A097806,Uni,Std,Inverse,[1 -1 1 0 -1 1 0 0 -1 1 ]
A103451,Uni,Std,RevInv,[1 1 -1 1 -1 0 1 -1 0 0 ]
A097806,Uni,Std,InvRev,[1 -1 1 0 -1 1 0 0 -1 1 ]
A000012,Uni,Std,DiagTri,[1 1 1 1 1 1 1 1 1 1 ]
A104878,Uni,Std,PolyTri,[1 1 1 1 2 1 1 3 3 1 ]
A000027,Uni,Std,Sum,[1 2 3 4 5 6 7 8 9 10 ]
A008619,Uni,Std,EvenSum,[1 1 2 2 3 3 4 4 5 5 ]
A001057,Uni,Std,OddSum,[0 1 1 2 2 3 3 4 4 5 ]
A014581,Uni,Std,AltSum,[1 0 1 0 1 0 1 0 1 0 ]
A008619,Uni,Std,DiagSum,[1 1 2 2 3 3 4 4 5 5 ]
A000012,Uni,Std,Middle,[1 1 1 1 1 1 1 1 1 1 ]
nothing,Uni,Std,Central,[1 1 1 1 1 1 1 1 1 1 ]
A000012,Uni,Std,LeftSide,[1 1 1 1 1 1 1 1 1 1 ]
A000012,Uni,Std,RightSide,[1 1 1 1 1 1 1 1 1 1 ]
A126646,Uni,Std,PosHalf,[1 3 7 15 31 63 127 255 511 1023 ]
A077925,Uni,Std,NegHalf,[1 -1 3 -5 11 -21 43 -85 171 -341 ]
A126646,Uni,Std,PolyVal2,[1 3 7 15 31 63 127 255 511 1023 ]
A003462,Uni,Std,PolyVal3,[1 4 13 40 121 364 1093 3280 9841 29524 ]
A000079,Uni,Std,BinConv,[1 2 4 8 16 32 64 128 256 512 ]
A000007,Uni,Std,IBinConv,[1 0 0 0 0 0 0 0 0 0 ]
A000330,Uni,Std,TransSqrs,[0 1 5 14 30 55 91 140 204 285 ]
A000217,Uni,Std,TransNat0,[0 1 3 6 10 15 21 28 36 45 ]
A025747,Uni,Std,TransNat1,[1 3 6 10 15 21 28 36 45 55 ]
A028246,Worpitzky,Std,Triangle,[1 1 1 1 3 2 1 7 12 6 ]
A075263,Worpitzky,Std,Reverse,[1 1 1 2 3 1 6 12 7 1 ]
A106340,Worpitzky,Std,InvRev,[1 -1 1 1 -3 1 -1 9 -7 1 ]
nothing,Worpitzky,Std,DiagTri,[1 1 1 1 1 3 1 7 2 1 ]
nothing,Worpitzky,Std,PolyTri,[1 1 1 1 2 1 1 6 3 1 ]
A000629,Worpitzky,Std,Sum,[1 2 6 26 150 1082 9366 94586 1091670 14174522 ]
A000670,Worpitzky,Std,EvenSum,[1 1 3 13 75 541 4683 47293 545835 7087261 ]
A000670,Worpitzky,Std,OddSum,[0 1 3 13 75 541 4683 47293 545835 7087261 ]
A000007,Worpitzky,Std,AltSum,[1 0 0 0 0 0 0 0 0 0 ]
A229046,Worpitzky,Std,DiagSum,[1 1 2 4 10 28 88 304 1144 4648 ]
nothing,Worpitzky,Std,Middle,[1 1 3 7 50 180 2100 10206 166824 1020600 ]
A185157,Worpitzky,Std,Central,[1 3 50 2100 166824 21538440 4115105280 1091804313600 384202115256960 173201547619900800 ]
A000012,Worpitzky,Std,LeftSide,[1 1 1 1 1 1 1 1 1 1 ]
A000142,Worpitzky,Std,RightSide,[1 1 2 6 24 120 720 5040 40320 362880 ]
A123227,Worpitzky,Std,PosHalf,[1 3 12 66 480 4368 47712 608016 8855040 145083648 ]
A009006,Worpitzky,Std,NegHalf,[1 -1 0 2 0 -16 0 272 0 -7936 ]
A201339,Worpitzky,Std,PolyVal2,[1 3 15 111 1095 13503 199815 3449631 68062695 1510769343 ]
A201354,Worpitzky,Std,PolyVal3,[1 4 28 292 4060 70564 1471708 35810212 995827420 31153998244 ]
A000169,Worpitzky,Std,BinConv,[1 2 9 64 625 7776 117649 2097152 43046721 1000000000 ]
nothing,Worpitzky,Std,IBinConv,[1 0 -3 -10 25 574 2653 -30234 -644079 -2438722 ]
nothing,Worpitzky,Std,TransSqrs,[0 1 11 109 1139 13021 164051 2273629 34497299 569871901 ]
nothing,Worpitzky,Std,TransNat0,[0 1 7 49 391 3601 37927 451249 5995591 88073041 ]
A000670,Worpitzky,Std,TransNat1,[1 3 13 75 541 4683 47293 545835 7087261 102247563 ]
